id,slug,bucket,cross_book_dup,grounded_signals,hallucination_tells,dup_windows,max_fanout,ctx_len,reasoning,title
220,flamer,GROUNDED,0,quant-claim,,0,0,786,signals: quant-claim,Flamer
223,fallout,GROUNDED,0,law-number,,0,0,402,signals: law-number,Fallout
224,what-girls-are-made-of,THIN,0,,,0,0,770,"no signals, no tells (len=770)",What Girls Are Made Of
226,l8r-g8r,THIN,0,,,0,0,640,"no signals, no tells (len=640)","l8r, g8r"
227,the-handmaids-tale-the-graphic-novel,THIN,0,,,0,0,281,"no signals, no tells (len=281)",The Handmaid's Tale: The Graphic Novel
229,milk-and-honey,GROUNDED,0,quant-claim,,0,0,507,signals: quant-claim,Milk and Honey
230,the-infinite-moment-of-us,THIN,0,,,0,0,701,"no signals, no tells (len=701)",The Infinite Moment of Us
232,the-fault-in-our-stars,THIN,0,,,0,0,697,"no signals, no tells (len=697)",The Fault in Our Stars
233,the-nowhere-girls,THIN,0,,,0,0,241,"no signals, no tells (len=241)",The Nowhere Girls
234,it-ends-with-us,THIN,0,,,0,0,384,"no signals, no tells (len=384)",It Ends with Us
235,the-lovely-bones,THIN,0,,,0,0,740,"no signals, no tells (len=740)",The Lovely Bones
237,people-kill-people,THIN,0,,,0,0,249,"no signals, no tells (len=249)",People Kill People
238,glass,THIN,0,,,0,0,464,"no signals, no tells (len=464)",Glass
241,the-female-of-the-species,THIN,0,,,0,0,323,"no signals, no tells (len=323)",The Female of the Species
242,red-hood,GROUNDED,0,law-number,,0,0,575,signals: law-number,Red Hood
243,tower-of-dawn,GROUNDED,0,named-org,,0,0,493,signals: named-org,Tower of Dawn
245,this-one-summer,THIN,0,,,0,0,252,"no signals, no tells (len=252)",This One Summer
247,boy-toy,THIN,0,,,0,0,662,"no signals, no tells (len=662)",Boy Toy
248,where-the-crawdads-sing,GROUNDED,0,named-org,,0,0,423,signals: named-org,Where the Crawdads Sing
249,extremely-loud-and-incredibly-close,THIN,0,,,0,0,471,"no signals, no tells (len=471)",Extremely Loud and Incredibly Close
250,traffick,THIN,0,,,0,0,510,"no signals, no tells (len=510)",Traffick
252,life-is-funny,THIN,0,,,0,0,433,"no signals, no tells (len=433)",Life is Funny
253,push,GROUNDED,0,law-number,,0,0,417,signals: law-number,Push
254,blankets,THIN,0,,,0,0,515,"no signals, no tells (len=515)",Blankets
256,shatter-me,THIN,0,,,0,0,456,"no signals, no tells (len=456)",Shatter Me
258,breaking-dawn,THIN,0,,,0,0,346,"no signals, no tells (len=346)",Breaking Dawn
259,shout,GROUNDED,0,named-org,,0,0,491,signals: named-org,Shout
262,ordinary-hazards,THIN,0,,,0,0,531,"no signals, no tells (len=531)",Ordinary Hazards
263,the-truth-about-alice-a-novel,THIN,0,,,0,0,421,"no signals, no tells (len=421)",The Truth About Alice: A Novel
264,the-duff-designated-ugly-fat-friend,GROUNDED,0,law-number,,0,0,304,signals: law-number,The DUFF: Designated Ugly Fat Friend
265,oryx-and-crake,THIN,0,,,0,0,791,"no signals, no tells (len=791)",Oryx and Crake
267,it,GROUNDED,0,quant-claim,,0,0,531,signals: quant-claim,It
273,lawn-boy,THIN,0,,,0,0,777,"no signals, no tells (len=777)",Lawn Boy
278,grown,THIN,0,,,0,0,616,"no signals, no tells (len=616)",Grown
279,dime,THIN,0,,,0,0,531,"no signals, no tells (len=531)",Dime
280,fade,THIN,0,,,0,0,431,"no signals, no tells (len=431)",Fade
281,queen-of-shadows,THIN,0,,,0,0,570,"no signals, no tells (len=570)",Queen of Shadows
282,killing-mr-griffin,THIN,0,,,0,0,416,"no signals, no tells (len=416)",Killing Mr. Griffin
285,one-hundred-paintings,THIN,0,,,0,0,274,"no signals, no tells (len=274)",One Hundred Paintings
286,wake,THIN,0,,,0,0,283,"no signals, no tells (len=283)",Wake
289,my-sisters-keeper,THIN,0,,,0,0,791,"no signals, no tells (len=791)",My Sister's Keeper
290,crown-of-midnight,THIN,0,,,0,0,481,"no signals, no tells (len=481)",Crown of Midnight
291,paper-towns,GROUNDED,0,named-org,,0,0,516,signals: named-org,Paper Towns
292,regretting-you,THIN,0,,,0,0,322,"no signals, no tells (len=322)",Regretting You
293,house-of-earth-and-blood,THIN,0,,,0,0,379,"no signals, no tells (len=379)",House of Earth and Blood
294,its-perfectly-normal-changing-bodies-growing-up-sex-and-sexual-health,THIN,0,,,0,0,445,"no signals, no tells (len=445)","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health"
299,the-almost-moon,THIN,0,,,0,0,371,"no signals, no tells (len=371)",The Almost Moon
300,storm-and-fury,GROUNDED,0,named-org,,0,0,737,signals: named-org,Storm and Fury
301,chosen,THIN,0,,,0,0,419,"no signals, no tells (len=419)",Chosen
303,rumble,THIN,0,,,0,0,350,"no signals, no tells (len=350)",Rumble
308,two-boys-kissing,THIN,0,,,0,0,256,"no signals, no tells (len=256)",Two Boys Kissing
310,merlin-saga,THIN,0,,,0,0,404,"no signals, no tells (len=404)",Merlin Saga
311,fangirl,THIN,0,,,0,0,458,"no signals, no tells (len=458)",Fangirl
313,yolo,THIN,0,,,0,0,430,"no signals, no tells (len=430)",yolo
317,heir-of-fire,THIN,0,,,0,0,300,"no signals, no tells (len=300)",Heir of Fire
319,feed,THIN,0,,,0,0,485,"no signals, no tells (len=485)",Feed
324,real-live-boyfriends-yes-boyfriends-plural-if-my-life-werent-complicated-i-would,THIN,0,,,0,0,319,"no signals, no tells (len=319)","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver"
325,hopeless,THIN,0,,,0,0,265,"no signals, no tells (len=265)",Hopeless
329,ready-player-one,THIN,0,,,0,0,470,"no signals, no tells (len=470)",Ready Player One
331,perfect-chemistry,THIN,0,,,0,0,505,"no signals, no tells (len=505)",Perfect Chemistry
332,it-starts-with-us,THIN,0,,,0,0,404,"no signals, no tells (len=404)",It Starts With Us
334,ready-or-not,THIN,0,,,0,0,537,"no signals, no tells (len=537)",Ready or Not
336,black-girl-unlimited-the-remarkable-story-of-a-teenage-wizard,THIN,0,,,0,0,531,"no signals, no tells (len=531)",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard
338,rick,THIN,0,,,0,0,428,"no signals, no tells (len=428)",Rick
339,forever-for-a-year,THIN,0,,,0,0,335,"no signals, no tells (len=335)",Forever for a Year
341,gabi-a-girl-in-pieces,GROUNDED,0,named-org,,0,0,552,signals: named-org,"Gabi, a Girl in Pieces"
342,beautiful,THIN,0,,,0,0,245,"no signals, no tells (len=245)",Beautiful
343,normal-people,GROUNDED,0,quant-claim|named-body,,0,0,503,"signals: quant-claim, named-body",Normal People
344,doing-it-lets-talk-about-sex,THIN,0,,,0,0,389,"no signals, no tells (len=389)",Doing It!: Let's Talk About Sex
345,blue-bloods,THIN,0,,,0,0,281,"no signals, no tells (len=281)",Blue Bloods
346,master-keaton-kanzenban,THIN,0,,,0,0,381,"no signals, no tells (len=381)",Master Keaton: Kanzenban
347,what-my-mother-doesnt-know,THIN,0,,,0,0,384,"no signals, no tells (len=384)",What My Mother Doesn't Know
348,allegedly,GROUNDED,0,named-org,,0,0,650,signals: named-org,Allegedly
349,speak-the-graphic-novel,THIN,0,,,0,0,607,"no signals, no tells (len=607)",Speak: The Graphic Novel
351,as-i-lay-dying,THIN,0,,,0,0,444,"no signals, no tells (len=444)",As I Lay Dying
353,infandous,GROUNDED,0,named-org,,0,0,378,signals: named-org,Infandous
355,gone-girl,THIN,0,,,0,0,344,"no signals, no tells (len=344)",Gone Girl
356,what-we-saw,THIN,0,,,0,0,415,"no signals, no tells (len=415)",What We Saw
359,neanderthal-opens-the-door-to-the-universe,GROUNDED,0,law-number|quant-claim,,0,0,544,"signals: law-number, quant-claim",Neanderthal Opens the Door to the Universe
360,asking-for-it,THIN,0,,,0,0,420,"no signals, no tells (len=420)",Asking for It
363,maximum-ride,THIN,0,,,0,0,246,"no signals, no tells (len=246)",Maximum Ride
366,monsters,THIN,0,,,0,0,540,"no signals, no tells (len=540)",Monsters
369,furyborn,THIN,0,,,0,0,330,"no signals, no tells (len=330)",Furyborn
370,heart-bones,THIN,0,,,0,0,284,"no signals, no tells (len=284)",Heart Bones
371,november-9,THIN,0,,,0,0,245,"no signals, no tells (len=245)",November 9
372,lets-talk-about-it-the-teens-guide-to-sex-relationships-and-being-a-human-a-grap,GROUNDED,0,named-org,,0,0,739,signals: named-org,"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)"
373,without-merit,THIN,0,,,0,0,342,"no signals, no tells (len=342)",Without Merit
374,the-testaments,THIN,0,,,0,0,270,"no signals, no tells (len=270)",The Testaments
376,heroine,THIN,0,,,0,0,546,"no signals, no tells (len=546)",Heroine
379,ghost-boys,THIN,0,,,0,0,251,"no signals, no tells (len=251)",Ghost Boys
381,vampire-academy,THIN,0,,,0,0,426,"no signals, no tells (len=426)",Vampire Academy
385,ugly-love,GROUNDED,0,named-body,,0,0,395,signals: named-body,Ugly Love
387,graceling,THIN,0,,,0,0,254,"no signals, no tells (len=254)",Graceling
391,twisted,GROUNDED,0,law-number|named-org|quant-claim,,0,0,727,"signals: law-number, named-org, quant-claim",Twisted
392,the-assassins-blade,THIN,0,,,0,0,331,"no signals, no tells (len=331)",The Assassin's Blade
395,slammed,THIN,0,,,0,0,534,"no signals, no tells (len=534)",Slammed
398,clap-when-you-land,THIN,0,,,0,0,357,"no signals, no tells (len=357)",Clap When You Land
403,new-kid,THIN,0,,,0,0,226,"no signals, no tells (len=226)",New Kid
406,before-i-fall,THIN,0,,,0,0,282,"no signals, no tells (len=282)",Before I Fall
408,the-tenth-circle,THIN,0,,,0,0,421,"no signals, no tells (len=421)",The Tenth Circle
412,deogratias-a-tale-of-rwanda,THIN,0,,,0,0,289,"no signals, no tells (len=289)",Deogratias: A Tale of Rwanda
415,pillage,THIN,0,,,0,0,206,"no signals, no tells (len=206)",Pillage
416,crescent-city,THIN,0,,,0,0,309,"no signals, no tells (len=309)",Crescent City
417,theodore-boone,THIN,0,,,0,0,270,"no signals, no tells (len=270)",Theodore Boone
418,maybe-someday,THIN,0,,,0,0,287,"no signals, no tells (len=287)",Maybe Someday
420,the-wicked-years,GROUNDED,0,named-org,,0,0,378,signals: named-org,The Wicked Years
421,flowers-in-the-attic,THIN,0,,,0,0,267,"no signals, no tells (len=267)",Flowers in the Attic
422,stardust,THIN,0,,,0,0,293,"no signals, no tells (len=293)",Stardust
423,memoirs-of-a-geisha,THIN,0,,,0,0,224,"no signals, no tells (len=224)",Memoirs of a Geisha
426,shiver,THIN,0,,,0,0,357,"no signals, no tells (len=357)",Shiver
427,ttfn,GROUNDED,0,law-number,,0,0,660,signals: law-number,ttfn
428,slaughterhouse-five-the-graphic-novel,THIN,0,,,0,0,242,"no signals, no tells (len=242)",Slaughterhouse-Five: The Graphic Novel
429,my-friend-dahmer,GROUNDED,0,law-number|quant-claim,,0,0,445,"signals: law-number, quant-claim",My Friend Dahmer
431,the-rape-of-nanking-the-forgotten-holocaust-of-world-war-ii,THIN,0,,,0,0,340,"no signals, no tells (len=340)",The Rape of Nanking: The Forgotten Holocaust of World War II
438,boy-girl-boy,THIN,0,,,0,0,333,"no signals, no tells (len=333)",Boy Girl Boy
439,fly-on-the-wall-how-one-girl-saw-everything,THIN,0,,,0,0,223,"no signals, no tells (len=223)",Fly on the Wall: How One Girl Saw Everything
446,the-opposite-of-innocent,GROUNDED,0,named-org,,0,0,476,signals: named-org,The Opposite of Innocent
449,confessions-of-georgia-nicolson,THIN,0,,,0,0,471,"no signals, no tells (len=471)",Confessions of Georgia Nicolson
452,spy-x-family,THIN,0,,,0,0,335,"no signals, no tells (len=335)",Spy x Family
453,the-program,THIN,0,,,0,0,287,"no signals, no tells (len=287)",The Program
454,i-never,GROUNDED,0,named-org,,0,0,361,signals: named-org,I Never
455,you-a-novel-of-dark-obsession,THIN,0,,,0,0,242,"no signals, no tells (len=242)",You: A Novel of Dark Obsession
457,kingsbane,THIN,0,,,0,0,247,"no signals, no tells (len=247)",Kingsbane
458,ignite-me,THIN,0,,,0,0,347,"no signals, no tells (len=347)",Ignite Me
