A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Missouri,Nixa Public Schools,April 2023,Banned from Libraries,Unclear
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Kansas,Gardner Edgerton School District 231,March 2023,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,January 2023,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,August 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Pennsylvania,Penncrest School District,February 2023,Banned from Libraries and Classrooms,Administration
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Missouri,Nixa Public Schools,April 2023,Banned from Libraries,Unclear
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,March 2023,Banned Pending Investigation,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,August 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Pennsylvania,Penncrest School District,February 2023,Banned from Libraries and Classrooms,Administration
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Missouri,Nixa Public Schools,April 2023,Banned from Libraries,Unclear
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,August 2022,Banned from Libraries and Classrooms,Formal Challenge
A Dance with Dragons,"Martin, George R. R.",,,,A Song of Ice and Fire,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
A Day in the Life of Marlon Bundo,"Twiss, Jill",,"Keller, E.G.",,,Florida,Broward County Public Schools,October 2022,Banned from Libraries and Classrooms,Informal Challenge
